study_hours,attendance,assignment_marks,previous_marks,internal_marks,final_score
8.4,80,56,67,61,65
5.4,63,39,48,46,43
5.4,81,64,84,71,71
4.3,92,60,81,70,58
0.0,60,20,37,45,24
2.4,69,44,51,52,39
10.1,85,54,55,62,55
5.8,72,45,61,55,54
4.5,84,63,78,69,61
5.0,73,48,55,49,49
4.1,76,50,79,59,63
6.2,97,70,80,78,69
5.8,75,59,72,60,57
7.1,75,57,70,62,60
7.7,74,62,62,55,60
4.7,62,46,55,45,42
7.3,82,56,67,59,57
2.7,67,41,60,59,48
8.5,83,66,76,66,69
8.4,83,53,54,44,47
3.5,79,43,56,52,41
2.8,74,29,40,53,41
9.9,92,69,82,67,75
4.9,82,49,63,48,48
7.3,57,44,57,57,49
4.1,72,43,68,59,50
9.0,65,69,81,60,68
6.3,82,43,70,58,52
6.6,82,51,59,60,52
9.0,90,61,76,62,68
8.3,100,82,99,84,83
3.2,76,43,62,57,49
3.9,69,52,65,55,46
5.0,75,39,48,49,44
3.7,79,61,87,66,64
8.5,88,67,76,70,70
4.3,85,49,69,56,54
6.2,66,46,44,36,41
0.0,77,28,49,52,32
5.1,89,63,84,72,66
3.7,77,58,75,63,60
4.9,91,61,79,69,63
4.9,78,56,58,52,48
5.5,81,50,69,63,55
5.2,73,50,76,60,57
5.6,73,48,68,54,51
7.3,82,60,68,57,61
4.0,84,51,64,68,56
7.9,76,64,79,54,66
6.8,82,51,69,62,63
6.7,71,55,61,44,54
7.5,82,52,70,60,57
3.7,66,42,42,41,34
8.7,95,68,59,49,61
4.6,63,44,51,48,41
3.9,84,45,53,51,43
3.7,77,42,58,43,42
6.0,95,58,92,78,69
1.9,71,39,59,59,41
5.4,90,54,79,74,62
2.7,62,26,40,42,35
5.6,87,59,62,58,57
5.9,76,53,63,62,62
5.1,92,54,67,70,60
8.3,79,58,70,65,62
8.1,85,60,73,58,63
4.7,66,49,54,49,46
3.6,77,46,60,57,49
7.9,97,68,82,61,76
5.5,76,45,54,53,45
0.9,65,32,48,57,38
3.6,59,32,49,47,38
4.5,68,35,55,57,39
4.7,70,53,73,59,56
6.1,72,50,59,52,54
4.0,86,44,68,62,50
7.2,85,52,60,52,55
8.0,100,62,74,63,62
6.0,79,40,61,62,48
5.7,87,47,64,66,59
1.9,84,55,80,60,53
2.4,71,43,56,55,39
4.4,78,43,64,56,51
3.0,75,43,56,54,43
4.9,68,47,49,49,42
9.9,79,62,63,61,66
2.6,63,35,45,44,31
4.0,66,50,72,63,50
6.7,88,52,67,62,59
9.1,80,63,70,62,67
4.4,79,52,67,54,56
5.8,77,50,56,63,50
8.1,81,54,59,57,60
2.4,79,48,61,58,45
0.5,58,32,45,33,33
2.4,75,41,48,44,35
2.4,79,42,49,56,46
5.4,73,41,53,51,44
6.6,89,53,81,58,69
0.9,80,41,47,54,40
5.8,84,51,60,54,50
6.5,95,59,91,80,70
7.2,80,53,69,58,61
5.6,89,57,68,62,62
2.9,61,38,51,51,39
6.1,82,54,71,56,58
5.4,59,53,56,42,47
5.8,69,45,62,52,50
3.8,96,51,76,71,56
3.7,69,35,40,36,32
4.3,94,56,74,57,59
6.3,78,57,68,62,62
2.0,63,46,57,46,45
4.0,63,40,46,42,40
4.2,79,51,63,47,50
2.3,74,43,62,51,46
7.2,89,67,87,70,68
6.0,75,48,56,56,50
7.0,95,69,90,69,70
7.7,68,56,58,59,51
3.1,72,45,55,47,44
5.8,80,55,69,55,56
6.3,74,54,74,67,62
6.6,88,69,92,73,73
7.7,84,63,79,62,66
5.1,79,59,78,62,61
7.1,100,70,72,73,69
6.1,67,47,59,58,51
2.6,70,45,59,48,41
